	0	1	2
PRJNA716334	Effect of blocking ABA-signaling in different tissues on transcriptomic changes induced by ABA-treatment (thale cress)	"ABA-signaling in disitinct root tissues is important for xylem phenotypes observed both under mock and ABA-treatment. We performed RNA-sequencing on Arabidopsis plants in which ABA-signalling is specifically blocked in the endodermis (J0571), the xylem (J1721) or the procambium (Q0990) to investigate the underlying transcriptomic changes.
Overall design: Transcriptomic changes in 1cm roots of 5 day old Arabidopsis plants upon treatment with 1µM ABA/ mock for 8h. Plants used in this experiments are in the F1 generation from the cross of the UAS::abi1-1 line with different enhancer trap lines: UAS::abi1-1xC24 (wt), UAS::abi1-1xJ1721, UAS::abi1-1xJ0571, UAS:abi1-1xQ0990 Less..."	"Ramachandran P et al., ""Abscisic acid signaling activates distinct VND transcription factors to promote xylem differentiation in Arabidopsis."", Curr Biol, 2021 Jul 26;31(14):3153-3161.e5"
PRJNA716333	Transcriptomic changes upon ABA treatment dependent on VND transcription factors (thale cress)	"Distinct transcriptomic changes upon ABA treatment are dependent on different VND transcription factors. We performed RNA-sequencing on mock and ABA-treated Arabidopsis plants to investigate the impact of VND1/2/3 and VND7 on gene expression changes upon ABA treatment.
Overall design: Transcriptomic changes in 1cm roots of 5 day old Arabidopsis plants upon treatment with 1µM ABA/ mock for 8h. Genotypes used in this experiment: Col-0 (wt), vnd1 vnd2 vnd3 triple mutant and vnd7 mutant Less..."	"Ramachandran P et al., ""Abscisic acid signaling activates distinct VND transcription factors to promote xylem differentiation in Arabidopsis."", Curr Biol, 2021 Jul 26;31(14):3153-3161.e5"
PRJNA716358	Transcriptome profiling of etiolated Arabidopsis seedlings 2 days after UV-B treatment (thale cress)	"We applied mRNA-seq to excised hypocotyls of etiolated Arabidopsis seedlings 2 days after exposure of germinating seedlings to UV-B. Please cite: Dukowic-Schulze, Harvey, Garcia, Chen, Gardner et al. (exp.2021)
Overall design: 3 replicates for 3 treatments in 3 genotypes: 3 treatments (3,000 and 30,000 µmol m-2 UV-B and dark control), 3 genotypes (WT Columbia-0, xpf-3, uvr8-6) Less..."	"Dukowic-Schulze S et al., ""UV-B Irradiation Results in Inhibition of Hypocotyl Elongation, Cell Cycle Arrest, and Decreased Endoreduplication Mediated by miR5642."", Photochem Photobiol, 2022 Sep;98(5):1084-1099"
PRJNA717244	Genetic determinants of endophytism in the Arabidopsis root mycobiome	"Roots of Arabidopsis thaliana do not engage in symbiotic association with mycorrhizal fungi but host taxonomically diverse fungal communities that influence health and disease states. We sequenced the genomes of 41 isolates representative of the A. thaliana root mycobiota for comparative analysis with 79 other plant-associated fungi. We report that root mycobiota members evolved from ancestors having diverse lifestyles and retained diverse repertoires of plant cell wall-degrading enzymes (PCWDEs) and effector-like small secreted proteins. We identified a set of 84 gene families predicting best endophytism, including families encoding PCWDEs acting on xylan (GH10) and cellulose (AA9). These genes also belong to a core transcriptional response induced by phylogenetically-distant mycobiota members in A. thaliana roots. Recolonization experiments with individual fungi indicated that strains with detrimental effects in mono-association with the host not only colonize roots more aggressively than those with beneficial activities but also dominate in natural root samples. We identified and validated the pectin degrading enzyme family PL1_7 as a key component linking aggressiveness of endophytic colonization to plant health.
Overall design: We report the transcriptomes of six root mycobiota members in interaction in mono-association with their host Arabidopsis thaliana in gnotobiotic system. The six fungal strains used in this experiment were isolated from the roots of healthy Arabidopsis plants in the wild (Duran et al. 2018). To identify the genes they express in planta, we conducted a RNA-sequencing experiment. A. thaliana sterile seeds were inoculated with mycelium, then cultivated for 28 days on a phosphate-deficient agar-based medium. Roots were harvested and crushed, then total RNA was extracted and sequenced. As control conditions, mycelia were grown on the same plant culture medium and fungal RNA was extracted with the same method, after 28 days in culture. With this experiment, we identified a core set of genes - mostly composed of genes encoding carbohydrate active enzymes - which are over-expressed by all six fungi in the roots of A. thaliana. We believe they constitute a toolbox for root colonization and the endophytic lifestyle. Less..."	"Mesny F et al., ""Genetic determinants of endophytism in the Arabidopsis root mycobiome."", Nat Commun, 2021 Dec 10;12(1):7227"
PRJNA718567	Heterochromatin is a quantitative trait locus associated with spontaneous epiallele formation (thale cress)	"Epialleles are meiotically inherited variations in expression states that are not linked to changes in DNA sequence. Although they are well documented to persist in plant genomes, their molecular origins are unknown. Here, we show using a variety of mutant and experimental populations that epialleles in Arabidopsis thaliana result from feedback regulation of pathways that primarily function to maintain DNA methylation at heterochromatin. Perturbations to maintenance of heterochromatin methylation leads to feedback regulation of DNA methylation in genes, with a preference for genes with pre-existing DNA methylation. Using epigenetic recombinant inbred lines (epiRIL), we show that epiallelic variation is enriched in euchromatin, yet, associated with QTL primarily located in heterochromatin. Mapping three-dimensional chromatin contacts reveals that genes that are hotspots for epiallelic variation have increased contact frequencies with regions possessing H3K9me2. Altogether, these data show that feedback regulation of pathways that evolved to maintain heterochromatin silencing leads to the origins of spontaneous epialleles. 
Overall design: MethylC-seq Less..."	"Zhang Y et al., ""Heterochromatin is a quantitative trait associated with spontaneous epiallele formation."", Nat Commun, 2021 Nov 29;12(1):6958"
PRJNA718622	Repression of CHROMOMETHYLASE 3 Prevents Epigenetic Collateral Damage in Arabidopsis (thale cress)	"DNA methylation has evolved to silence mutagenic transposable elements (TEs) while typically avoiding the targeting of endogenous genes. Mechanisms that prevent DNA methyltransferases from ectopically methylating genes are expected to be of prime importance during periods of dynamic cell cycle activities including plant embryogenesis. However, virtually nothing is known regarding how DNA methyltransferase activities are precisely regulated during embryogenesis to prevent the induction of potentially deleterious and mitotically stable genic epimutations. Here, we report that microRNA-mediated repression of CHROMOMETHYLASE 3 (CMT3) and the chromatin features that CMT3 prefers help prevent ectopic methylation of thousands of genes during embryogenesis that can persist for weeks afterwards. Moreover, CMT3-induced ectopic methylation of genes undergoing transcriptional activation can reduce their corresponding transcript levels. Therefore, the repression of CMT3 prevents epigenetic collateral damage on endogenous genes. We also provide a model that may help reconcile conflicting viewpoints regarding the functions of gene-body methylation that occurs in nearly all flowering plants.
Overall design: Methyl cytosine sequencing libraries were generated from 2-4 biological replicates of bent cotyledon stage embryos or seedlings from four genotypes. mRNA-seq libraries were generated from 9 biological replicates of bent cotyledon embryos from three genotypes. Less..."	"Papareddy RK et al., ""Repression of CHROMOMETHYLASE 3 prevents epigenetic collateral damage in Arabidopsis."", Elife, 2021 Jul 23;10"
PRJNA719110	The epigenetic Transcriptional factor FVE orchestrates cytoplasmic SGS3-DRB4-DCL4 activities to promote transgene RNA silencing in Arabidopsis (thale cress)	"We examined global expression profiles of 5-day-old fve-8 seedlings compared to parental line (E5-4) using illumina sequencing
Overall design: Examination of RNA and small RNA (19-24 nt) expression and sRNA expression in fve-8 and its WT (E5-4)."	
PRJNA719557	Transcriptome analyses of Arabidopsis ldl1ldl2 (lysine-specific demethylase1 [LSD1]-like1 [ldl1]) double mutants as well as wild-type Columbia-0 plants via next-generation sequencing (NGS) (thale cress)	"Purpose: The goals of this study are to compare transcriptome of ldl1ldl2 double mutants with that of wild-type Columbia-0 plants and to identify genes whose expression are tightly regualted by LDL1/LDL2 prtoeins in Arabidopsis.
Methods: mRNA profiles of 3-week-old wild-type Col-0 and ldl1ldl2 mutant plants were generated by deep sequencing, in duplicate, using Illumina HiSeq 2000. The sequence reads that passed quality filters were analyzed at the transcript isoform level with a method : TopHat followed by Cufflinks.
Results: Using an optimized data analysis workflow, we mapped about 27~31 million sequence reads per sample to the Arabidopsis genome (TAIR10).
Conclusions:  Our results show that LDL1 and LDL2 protein had  significant effects on transcription of genes important for plant immune reponses against Pseudomonas infection.
Overall design: mRNA profiles of 3-week-old wild-type Col-0 and ldl1ldl2 mutant plants were generated by deep sequencing, in duplicate, using Illumina HiSeq 2000. Less..."	"Noh SW et al., ""Two Arabidopsis Homologs of Human Lysine-Specific Demethylase Function in Epigenetic Regulation of Plant Defense Responses."", Front Plant Sci, 2021;12:688003"
PRJNA719729	A RALF-like peptide EaF82 derived from Epipremnum aureum inhibits pollen development in Arabidopsis and tobacco (thale cress)	"To investigate the function of previously cloned novel cysteine-rich peptide EaF82 which biochemical properties are similar to the Rapid Alkalinization Factor (RALF), we overexpressed EaF82 gene in Arabidopsis and found defects only in the pollen development. To further determine the affected genes and biological pathways, we compared the transcriptome profilings of two independent Arabidopsis EaF82 overexpressing lines (TA and TB) with that of the vector control line (C). The RNAseq analysis results revealed decreased expressions of five endogenous clade IV AtRALFs and genes responsible for cell wall modifications and pollen maturation, supporting the observed pollen abortion.
Overall design: The clusters of unopened flower buds of two indepentdent transgenic lines overexpressing EaF82, named TA and TB, and one control line expressing vector contruct, named C,  were examined. Each line has three biological replicate samples randomly collected from 36 subline plants. Less..."	
PRJNA592188	An MRG-mediated chromatin switch operates at the SOC1 gene to modulate abiotic stress responses during the onset of flowering (thale cress)	"The mechanisms underlying the precise integration of environmental and developmental signals necessary for plant adaptation to suboptimal environments remain obscure. Here we show that a chromatin switch, mediated by MRG proteins, acts on the floral activator SUPPRESSOR OF OVEREXPRESSION OF CO 1 (SOC1) to coordinate flowering initiation with plant responsiveness to adverse conditions. SOC1 constitutes a central hub in a mechanism that tunes down stress responses likely to optimize plant reproductive success and fitness
Overall design: Transcriptomic profiling through RNAseq of Arabidopsis plants grown on soil under long day photoperiod (16h light / 8h dark). Plants were grown at 22°C for 12 days on soil, taking samples at Zeitgeber time (ZT) ZT8. Three libraries were generated using RNA from three independent experiments. Less..."	
PRJNA720907	RNA sequencing of polymerase II-associated factor 1 complex (PAF1c) mutants at 10°C and 23°C  under LD conditions (thale cress)	"We sequenced mRNA of WT (Col-0) and PAF1c single mutants (php, elf7, vip3, vip4, vip5, and vip6) grown at 10°C and 23°C  under LD conditions. RNA was extracted from seedlings of 1.02 developmental stage at both temperatures and proceeded for library preparation
Overall design: RNA extracted followed by high-throughput transcriptome sequencing of WT (Col-0) and PAF1c single mutants (php, elf7, vip3, vip4, vip5, and vip6) grown at 10°C and 23°C  under LD conditions Less..."	"Nasim Z et al., ""Polymerase II-Associated Factor 1 Complex-Regulated FLOWERING LOCUS C-Clade Genes Repress Flowering in Response to Chilling."", Front Plant Sci, 2022;13:817356"
PRJNA721214	The effect of SEAP1 on the accumulation of miRNAs and mRNAs (thale cress)	"SE-Associated Protein 1 (SEAP1), is a conserved protein in eukaryotes. Its orthologs, SART3 and PRP24 from metazoans and yeast play essential roles in splicing. Here, we report that SE-Associated Protein 1 (SEAP1), is required for miRNA biogenesis in Aradopsis. Lack of SEAP1 causes embryo lethality and knockdown of SEAP1 by an artificial miRNA (amiRSEAP1) causes pleiotropic growth defects and reduction in miRNA accumulation, accompanied with increased levels of target transcripts. SEAP1 associates with the RNase III enzyme Dicer-like 1(DCL1) complex, which processes primary miRNA transcripts (pri-miRNAs) into miRNAs, and seems to promote the interaction of the DCL1 complexes with pri-miRNAs. SEAP1 is also required for pri-miRNA accumulation. However, it does not affect the transcription of pri-miRNAs, suggesting it may indirectly or directly stabilize pri-miRNAs. SEAP1 also affects the spicing of pri-mRNAs. These results suggest that SEPA1 promotes miRNA biogenesis by positively modulating pri-miRNA splicing, processing and stability. We also find that intron retention in amiRSEAP1 is altered at global levels, linking SEAP1 to spicing. Collectively, our results uncover the function of SEAP1 in plants.
Overall design: To exam the effect of artifical miRNA targeting to SEAP1 on the accumation of miRNAs by RNA Sequencing Non-coding RNA Deep Sequencing Less..."	
PRJNA721401	Characterization of 35S::TT2 and 35S::MYB5 overexpressors RUN2 (thale cress)	"Characterization of the impact of TT2 or MYB5 overexpression on gene expression. Col 0 plants were compared to 35S::TT2 and 35S::MYB5 overexpressors in control conditions
Overall design: Investigation of TT2 and MYB5 overexpression on gene expression Less..."	"Jacob P et al., ""The Seed Development Factors TT2 and MYB5 Regulate Heat Stress Response in Arabidopsis."", Genes (Basel), 2021 May 15;12(5)"
PRJNA721414	Next Generation Sequencing  of Wild Type (Col-0) , fio1-1 and fio1-2 Transcriptomes in Arabidopsis thaliana (thale cress)	"Plants were grown on 1/2 MS for 14 days under LD conditions and RNA was extracted and sequenced
Overall design: Examination of three genotypes (wild type/fio1-1/fio1-2) and one condition with two replicates each"	"Sun B et al., ""FIONA1-mediated methylation of the 3'UTR of FLC affects FLC transcript levels and flowering in Arabidopsis."", PLoS Genet, 2022 Sep;18(9):e1010386"
PRJNA722743	Functionalized carbon nanotube toxicity in Arabidopsis leaves (thale cress)	"Polyethilenimine (PEI) functionalized single walled carbon nanotubes (SWNTs) and carbon-based nanomaterials enable delivery of DNA and RNA in plants. Given the broad-scale use of PEI-functionalized nanomaterials in plants, we sought to investigate the reaction of plant tissues to treatment with PEI-SWNTs and pristine SWNTs. To this end, we infiltrated Arabidopsis thaliana leaves with pristine single walled carbon nanotubes used in RNA silencing applications (SWNTs) and polyethyleneimine-functionalized SWNTs used for plasmid DNA delivery (PEI-SWNTs). We used Arabidopsis as it is a well characterized model plant, for which genomic and detailed gene function information is readily available. To minimize the effects caused by the introduction of exogenous nucleic acids, in SWNT preparations we used single stranded RNA targeting Green Fluorescent Protein (GFP) with no target sequence in the Arabidopsis genome, and a plasmid that expresses GFP in PEI-SWNT preparations. For our experiments herein, we used ~25-50 fold higher concentrations of SWNTs and PEI-SWNTs compared to standard concentrations used in biomolecule delivery assays. Water-infiltrated plant leaves served as a negative control to distinguish between the SWNT-specific response and the response to the infiltration process itself. We performed RNA sequencing (RNA-seq) with RNA extracted from leaves two days after infiltration to identify changes in the leaf transcriptomic profile in response to the three treatments, compared to non-infiltrated leaves.
Overall design: Young leaves of 6-week old wild-type Col-0 Arabidopsis thaliana plants in vegetative stage were selected to be fully infiltrated (approx. vol 40 µL) with a 1 mL needleless syringe (BD, cat. no. 14-823-434) loaded with water, SWNTs+ssRNA (50 ng/µL) or pDNA+PEI-SWNTs (50 ng/µL) prepared as described previously. Two days after infiltration, five biological replicates containing four leaves of each treatment from different plants and from non-treated plants were collected in a 2 mL Eppendorf tube with two 3.2 mm chrome steel beads (RPI, cat. no. 9840) and flash frozen in liquid N2 immediately. Frozen samples were ground in a Mini-beadbeater (Biospec Products, cat. no. 3110Bx) tissue homogenizer for 5 seconds at 25 Hz frequency, twice.  RNA was extracted using RNeasy Plant Mini Kit (Qiagen cat. 74904) using RNase-Free DNase (Qiagen cat. 79254) following manufacturer instructions. Total RNA concentration was measured using the Qubit™ RNA BR Assay Kit (Thermo Fisher). RNA quality was checked using the 2100 Bioanalyzer with RNA 6000 Nano Kit (Agilent). RNA integrity number (RIN) scores were confirmed to be >8. Libraries were prepared using Kapa Biosystems library preparation kit with mRNA selection with poly-A magnetic beads. Libraries were pooled and sequenced on an Illumina NovaSeq S4 flow cell in a NovaSeq 6000 Platform with 150 paired end reads. Less..."	"González-Grandío E et al., ""Carbon nanotube biocompatibility in plants is determined by their surface chemistry."", J Nanobiotechnology, 2021 Dec 20;19(1):431"
PRJNA722862	FER-regulated genes under moderate intensity light (thale cress)	"Col-0 and fer-4 seedlings grown for 7 d under moderate intensity light (150 PFD) were used for RNA-sequencing
Overall design: Three biological replicates for Col-0 and fer-4 samples were analyzed. Control: Col-0"	"Shin SY et al., ""FERONIA Confers Resistance to Photooxidative Stress in Arabidopsis."", Front Plant Sci, 2021;12:714938"
PRJNA722928	Agrobacterium VirE2 Protein Modulates Plant Gene Expression and Mediates Transformation from Its Location in the Cytoplasm (thale cress)	"Agrobacterium effector protein VirE2 is important for plant transformation. VirE2 likely coats transferred DNA (T-DNA) in the plant cell and protects it from degradation. VirE2 localizes to the plant cytoplasm and interacts with several host proteins. Plant-expressed VirE2 can complement a virE2 mutant Agrobacterium strain to support transformation. We investigated whether VirE2 could facilitate transformation from a nuclear location by affixing to it a strong nuclear localization signal (NLS) sequence. Only cytoplasmic-, but not nuclear-localized, VirE2 could stimulate transformation. To investigate the ways VirE2 supports transformation, we generated transgenic Arabidopsis plants containing a virE2 gene under the control of an inducible promoter and performed RNA-seq and proteomic analyses before and after induction. Some differentially expressed plant genes were previously known to facilitate transformation. Knockout mutant lines of some other VirE2 differentially expressed genes showed altered transformation phenotypes. Levels of some proteins known to be important for transformation increased in response to VirE2 induction, but prior to or without induction of their corresponding mRNAs. Overexpression of some other genes whose proteins increased after VirE2 induction resulted in increased transformation susceptibility. We conclude that cytoplasmically-localized VirE2 modulates both plant RNA and protein levels to facilitate transformation.
Overall design: Examination of differentially expressed genes using RNAseq in transgenic Arabidopsis thaliana roots which inducibly express the Agrobacterium tumefaciens virulence protein VirE2 under induced and non-induced conditions in the presence of an avirulent Agrobacterium strain at 0, 3, and 12 hours post-treatment Less..."	"Lapham RA et al., ""Agrobacterium VirE2 Protein Modulates Plant Gene Expression and Mediates Transformation From Its Location Outside the Nucleus."", Front Plant Sci, 2021;12:684192"
PRJNA722978	RNA-seq analysis of Arabidopsis ATAF2 loss- and gain-of-function mutants (thale cress)	"Four-day old seedlings of Arabidopsis wildtype Col-0, T-DNA insertional mutant ataf2-2, and overexpression line ATAF2ox-3 were collected for total RNA extraction. Three biological replicates were prepared for each genotype.
Overall design: Examination of differentially expressed genes in ataf2-2 and ATAF2ox-3 when compard to Col-0 Less..."	"Peng H et al., ""The NAC transcription factor ATAF2 promotes ethylene biosynthesis and response in Arabidopsis thaliana seedlings."", FEBS Lett, 2022 Jun;596(12):1586-1599"
PRJNA723009	The E3 Ubiquitin Ligase AFF1 targets ARF19 to the proteasome (thale cress)	"Auxin critically regulates nearly every aspect of plant growth and development. Auxin-driven transcriptional responses are mediated through the AUXIN RESPONSE FACTOR (ARF) family of transcription factors. Although ARF protein stability is regulated via the 26S proteasome, molecular mechanisms underlying ARF stability and turnover are unknown. Here, we report the identification and functional characterization of an F-Box E3 ubiquitin ligase, which we have named AUXIN RESPONSE FACTOR F-BOX1 (AFF1). AFF1 directly interacts with ARF19 and regulates its accumulation. Mutants defective in AFF1 display ARF19 protein hyperaccumulation, mild auxin resistance, and developmental defects. Together, our data suggest a new mechanism, namely control of ARF protein stability, in regulating auxin responsiveness.
Overall design: This RNAseq experiment examined 3 genotypes (Col-0, aff1-1, aff1-2) of 4 day old Arabidopsis thaliana seedlings under two conditions (mock treated or 2 hour treatment with 10mM indole-3-acetic acid (IAA)). The RNA was isolated from whole seedlings. There were three replicates carried out for each genotype/treatment combination yeilding a total of 18 samples. The aff1-2 line is Salk_083453. Less..."	"Jing H et al., ""Regulation of AUXIN RESPONSE FACTOR condensation and nucleo-cytoplasmic partitioning."", Nat Commun, 2022 Jul 11;13(1):4015"
PRJNA724665	Next Generation Sequencing  of miP1aOX and sum20.1 in Arabidopsis thaliana (thale cress)	"Plants were grown on 1/2 MS for 12 days under LD conditions and DNA was extracted and sequenced
Overall design: Examination of two genotypes and one condition with three replicates each"	"Rodrigues VL et al., ""A microProtein repressor complex in the shoot meristem controls the transition to flowering."", Plant Physiol, 2021 Sep 4;187(1):187-202"
PRJNA724737	Dysfunction of histone demethylase IBM1 in Arabidopsis causes autoimmunity and reshapes the root microbiome (thale cress)	"Root microbiota is important for plant growth and fitness. Little is known about whether and how the assembly of root microbiota may be controlled by epigenetic regulation, which is crucial for gene transcription and genome stability. Here we show that dysfunction of the histone demethylase IBM1 (INCREASE IN BONSAI METHYLATION 1) in Arabidopsis thaliana substantially reshaped the root microbiota, with the majority of the significant amplicon sequence variants (ASVs) being decreased. Transcriptome analyses of plants grown in soil and in sterile growth-medium jointly disclosed salicylic acid (SA)-mediated autoimmunity and production of the defense metabolite camalexin in the ibm1 mutants. Analyses of genome-wide histone modifications and DNA methylation highlighted epigenetic modifications permissive for transcription at several important defense regulators. Consistently, ibm1 mutants showed increased resistance to the pathogen Pseudomonas syringae DC3000 with stronger immune responses. In addition, ibm1 showed substantially impaired plant growth-promotion in response to beneficial bacteria; the impairment was partially mimicked by exogenous application of SA to wild type plants, and by a null mutation of AGP19 that is important for cell expansion and that is repressed with DNA hyper methylation in ibm1. IBM1-dependent epigenetic regulation imposes strong and broad impacts on plant-microbe interactions and thereby shapes the assembly of root microbiota.
Overall design: BS-seq: soil-grown plants of ibm1-1 was compared with the Col-0, each genotype has 2 biological replicates; RNA-seq in soil: soil-grown plants of ibm1-1 was compared with the Col-0, and each genotype has 3 biological replicates; RNAseq in medium: MS-medium-grown seedlings of ibm1-1 was compared with Col-0, and each genotype has 2 biological replicates Less..."	"Lv S et al., ""Dysfunction of histone demethylase IBM1 in Arabidopsis causes autoimmunity and reshapes the root microbiome."", ISME J, 2022 Nov;16(11):2513-2524"
PRJNA725265	RNA-seq analysis of dark-induced senescence of the leaves of Ran-GDP and Ran-GTP overexpression transgenic plants (thale cress)	"Comparing transcriptome of the leaves of Ran-GDP and Ran-GTP overexpression transgenic plants before and after dark incubation, we discovered 851 differentially expressed genes that designated as Ran-regulated genes. The RNA-seq result confirmed the early senescence phenotype of Ran-GTP overexpression plants and the up-regulation of several signaling pathways, implied their positive roles in Ran-regulated senescence and suggest potential downstream targets  of Ran. This study provided a mechanism that senescence process could be regulated by nuclear transportation machinery in Arabidopsis.
Overall design: The RNA expression profiles of the fifth and sixth leaves of 4 week-old RanT27N (Ran-GDP) and RanG22V (Ran-GTP) overexpression transgenic plants before and after 3 days in darkness were assessed. Less..."	
PRJNA693252	MBD5 and MBD6 couple DNA methylation to gene silencing through the J-domain protein SILENZIO	"DNA methylation is associated with transcriptional repression of eukaryotic genes and transposons, but the downstream mechanism of gene silencing is largely unknown. Here we describe two Arabidopsis methyl-CpG binding domain proteins, MBD5 and MBD6, that are recruited to chromatin by recognition of CG methylation, and redundantly repress a subset of genes and transposons without affecting DNA methylation levels. These methyl-readers recruit a J-domain protein, SILENZIO, that acts as a transcriptional repressor in loss-of-function and gain-of-function experiments. J-domain proteins often serve as co-chaperones with HSP70s. Indeed, we found that SILENZIO?s conserved J-domain motif was required for its interaction with HSP70s and for its silencing function. These results uncover an unprecedented role of a molecular chaperone J-domain protein in gene silencing downstream of DNA methylation.
Overall design: This study includes 11 DAP-seq samples, 19 ChIP-seq samples, 5 BS-seq samples, 18 BS-PCR samples, 82 RNA-seq samples, 2 GRO-seq samples and 1 EM-seq.
Please note that the MBD5-MYC and MBD6-MYC ChIP-seq data (lib5) is of higher quality than the MBD5-FLAG and MBD6-FLAG ChIP-seq data.
The lists of methylation hypervariable bins and genes have been deposited under the sample GSM5026060 (BSseq_lib1_Col0_rep1). See methods of the paper for details Less..."	"Ichino L et al., ""MBD5 and MBD6 couple DNA methylation to gene silencing through the J-domain protein SILENZIO."", Science, 2021 Jun 3;"
PRJNA727190	Interplay between gene expression, histone modifications, and DNA methylation mediated by miR778 during beet cyst nematode parasitism of Arabidopsis [RNA-seq] (thale cress)	"Purpose: The aim of this study is to investigate the role of H3K9 methylation in the development of syncytia induced by the beet cyst nematode (BCN, Heterodera schachtii). For this, differential gene expression analysis was performed in root tissues of Col-0 wild-type and suvh5 and suvh6 single mutants under BCN-infected and noninfected conditions.
Methods: Col-0 wild-type and suvh5 and suvh6 mutant plants were grown and 10-day-old plants were inoculated with 100 second-stage juvenile (J2) H. schachtii at 10 days old. Five days post inoculation, root tissues were collected from infected and noninfected plants in triplicate. Total RNA was extracted, mRNA libraries were prepared, and then high throughput RNA sequencing was performed using the Illumina NovoSeq 6000. High quality, paired-end reads were then aligned to the Arabidopsis thaliana reference genome (TAIR10.28) using STAR and uniquely mapped reads were counted using HTSeq. Finally, differentially expressed genes (DEGs) between the mutant lines and wild-type plants under non-infected and infected conditions were identified using DESeq package.
Results and conclusions: At least 20 million reads were uniquely mapped to the Arabidopsis reference genome with an average length of about 300 bp for paired-end reads. A total of 1057 and 3390 DEGs were identified for suvh5 and suvh6 versus Col-0, respectively, under noninfected conditions. Upon infection of BCN, Col-0 had 4566 DEGs compared to the noninfected wild type. BCN-infected single mutants suvh5 and suvh6 had 2487 and 846 DEGs compared to BCN-infected Col-0, respectively. Of these DEGs, 1277 and 592 or about 51% and 70% are also differentially expressed in BCN-infected Col compared to noninfected Col-0, respectively, and 324 of the 1277 and 592 DEGs are common to BCN-infected suvh5 and suvh6 compared to the control. DEGs common to BCN-infected Col-0 and/or suvh5, and suvh6 are involved in stress and defense responses, primary and secondary metabolism, signal transduction, cell wall organization and other cellular processes. This suggests that SUVH5 and SUVH6 play a major role in transcriptome reprogramming to facilitate cellular, molecular, and metabolic processes involved in the compatible plant-nematode interaction.
Overall design: Transcriptional profiles of H. schachtii infected and noninfected suvh5 and suvh6 mutants compared to Col-0 wild type Less..."	"Bennett M et al., ""miR778 mediates gene expression, histone modification, and DNA methylation during cyst nematode parasitism."", Plant Physiol, 2022 Aug 1;189(4):2432-2453"
PRJNA727531	The transcriptomic landscape of the photoperiodic stress response in Arabidopsis thaliana resembles the response to pathogen infection (thale cress)	"Plants are exposed to regular diurnal rhythms of light and dark. Changes in the photoperiod by the prolongation of the light period cause photoperiod stress in short day-adapted Arabidopsis thaliana. Here we report on the transcriptional response to photoperiod stress of wild-type A. thaliana and photoperiod stress-sensitive cytokinin signaling and clock mutants. Transcriptomic changes induced by photoperiod stress included numerous changes in reactive oxygen species (ROS)-related transcripts and showed a strong overlap with alterations occurring in response to ozone stress and pathogen attack, which have in common the induction of an apoplastic oxidative burst. A core set of photoperiod stress-responsive genes has been identified, including salicylic acid (SA)-biosynthesis and -signaling genes. Genetic analysis revealed a central role for NPR1 in the photoperiod stress response as npr1-1 mutants were stress-insensitive. Photoperiod stress treatment led to a strong increase in camalexin levels which is also observed in response to pathogen infections. Photoperiod stress induced the resistance of Arabidopsis plants to a subsequent infection by Pseudomonas syringae pv. tomato DC3000 indicating priming of the defence response. Together, photoperiod stress causes transcriptional reprogramming resembling plant pathogen defence responses and induces systemic acquired resistance in the absence of a pathogen.
Overall design: 5-weeks-old short day-grown Arabidopsis plants (WT, ahk2 ahk3, cca1 lhy) were exposed to a 24 h-extended light period (32 h light in total). Sampling for RNAseq analysis was done at 0 h, 4 h, 6 h and 12 h after the end of the prolonged light period. Control plants were sampled on the same moment. For each sampling point, three biological and three technical replicates were taken. Less..."	"Cortleven A et al., ""Photoperiod Stress in Arabidopsis thaliana Induces a Transcriptional Response Resembling That of Pathogen Infection."", Front Plant Sci, 2022;13:838284"
PRJNA727585	Precise transcriptional control of cellular quiescence by BRAVO/WOX5 complex in Arabidopsis roots (thale cress)	"Understanding stem cell regulatory circuits is the next challenge in plant biology, as these cells are essential for tissue growth and organ regeneration in response to stress. In the Arabidopsis primary root apex, stem-cell specific transcription factors BRAVO and WOX5 co-localize in the Quiescent Center (QC) cells, where they commonly repress cell division so that these cells can act as a reservoir to replenish surrounding stem cells, yet their molecular connection remains unknown. Genetic and biochemical analysis indicates that BRAVO and WOX5 form a transcription factor complex that modulates gene expression in the QC cells to preserve overall root growth and architecture. Furthermore, by using mathematical modeling we establish that BRAVO uses the WOX5/BRAVO complex to promote WOX5 activity in the stem cells. Our results unveil the importance of transcriptional regulatory circuits in plant stem cell development.
Overall design: RNA-seq of QC cells of WT and bravo-2 Arabidopsis seedlings. Less..."	"Betegón-Putze I et al., ""Precise transcriptional control of cellular quiescence by BRAVO/WOX5 complex in Arabidopsis roots."", Mol Syst Biol, 2021 Jun;17(6):e9864"
